2024-04-08 10:55:29,802 INFO    MainThread:11132 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-08 10:55:29,803 INFO    MainThread:11132 [wandb_setup.py:_flush():76] Configure stats pid to 11132
2024-04-08 10:55:29,803 INFO    MainThread:11132 [wandb_setup.py:_flush():76] Loading settings from C:\Users\RyukiRi\.config\wandb\settings
2024-04-08 10:55:29,803 INFO    MainThread:11132 [wandb_setup.py:_flush():76] Loading settings from E:\Projects\CLIP\wandb\settings
2024-04-08 10:55:29,803 INFO    MainThread:11132 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-08 10:55:29,803 INFO    MainThread:11132 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-08 10:55:29,803 INFO    MainThread:11132 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'dataloader.py', 'program_abspath': 'E:\\Projects\\CLIP\\dataloader.py', 'program': 'E:\\Projects\\CLIP\\dataloader.py'}
2024-04-08 10:55:29,804 INFO    MainThread:11132 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-08 10:55:29,804 INFO    MainThread:11132 [wandb_init.py:_log_setup():521] Logging user logs to E:\Projects\CLIP\wandb\run-20240408_105529-xkwef2t9\logs\debug.log
2024-04-08 10:55:29,804 INFO    MainThread:11132 [wandb_init.py:_log_setup():522] Logging internal logs to E:\Projects\CLIP\wandb\run-20240408_105529-xkwef2t9\logs\debug-internal.log
2024-04-08 10:55:29,804 INFO    MainThread:11132 [wandb_init.py:init():561] calling init triggers
2024-04-08 10:55:29,804 INFO    MainThread:11132 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'epochs': 10, 'batch_size': 64}
2024-04-08 10:55:29,804 INFO    MainThread:11132 [wandb_init.py:init():611] starting backend
2024-04-08 10:55:29,804 INFO    MainThread:11132 [wandb_init.py:init():615] setting up manager
2024-04-08 10:55:29,805 INFO    MainThread:11132 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-04-08 10:55:29,809 INFO    MainThread:11132 [wandb_init.py:init():623] backend started and connected
2024-04-08 10:55:29,811 INFO    MainThread:11132 [wandb_init.py:init():715] updated telemetry
2024-04-08 10:55:29,909 INFO    MainThread:11132 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-08 10:55:30,694 INFO    MainThread:11132 [wandb_run.py:_on_init():2357] communicating current version
2024-04-08 10:55:30,984 INFO    MainThread:11132 [wandb_run.py:_on_init():2366] got version response 
2024-04-08 10:55:30,984 INFO    MainThread:11132 [wandb_init.py:init():799] starting run threads in backend
2024-04-08 10:55:35,293 INFO    MainThread:11132 [wandb_run.py:_console_start():2335] atexit reg
2024-04-08 10:55:35,293 INFO    MainThread:11132 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-08 10:55:35,293 INFO    MainThread:11132 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-08 10:55:35,293 INFO    MainThread:11132 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-08 10:55:35,293 INFO    MainThread:11132 [wandb_init.py:init():842] run started, returning control to user process
2024-04-08 10:56:28,170 WARNING MsgRouterThr:11132 [router.py:message_loop():77] message_loop has been closed
